intent,text
SMALL_TALK,No tengo nada qué hacer y me aburro mucho
SMALL_TALK,Qué lento pasa el tiempo cuando uno está solo
SMALL_TALK,Este día se me ha hecho eterno
SMALL_TALK,Nada que hacer y nada que ver qué aburrimiento
SMALL_TALK,Qué días tan largos los de ahora
SMALL_TALK,Me siento muy solo hoy y no sé por qué
SMALL_TALK,Nada me anima hoy todo está feo
SMALL_TALK,Qué pesado se siente el día cuando no llueve ni hace sol
SMALL_TALK,Estoy aburrido sin nada qué hacer
SMALL_TALK,Antes la vida era más tranquila no tan complicada
SMALL_TALK,En mis tiempos las cosas eran distintas y más bonitas
SMALL_TALK,Qué tiempos aquellos cuando los hijos vivían cerca
SMALL_TALK,Antes se visitaba más a los vecinos ahora nadie sale
SMALL_TALK,Cuando era joven todo era diferente más sencillo
SMALL_TALK,Extraño cuando mi esposo estaba aquí conmigo
SMALL_TALK,Antes la comida tenía otro sabor no sé por qué
SMALL_TALK,Los jóvenes de ahora no son como los de mi época
SMALL_TALK,Me acuerdo cuando mi barrio era pura tierra y éramos muy felices
SMALL_TALK,Antes los domingos eran sagrados toda la familia unida
SMALL_TALK,¿Qué día es hoy?
SMALL_TALK,¿Qué hora es ahorita?
SMALL_TALK,¿Cuántos días faltan para el feriado?
SMALL_TALK,¿Cómo se llama el presidente ahorita?
SMALL_TALK,¿Cuánto está el dólar hoy?
SMALL_TALK,¿Qué año estamos?
SMALL_TALK,¿Cuántos días tiene este mes?
SMALL_TALK,¿Mañana es feriado o no?
SMALL_TALK,¿A qué hora amanece en invierno?
SMALL_TALK,¿Cuánto falta para navidad?
SMALL_TALK,Muchas gracias mijito por tu ayuda
SMALL_TALK,Qué bueno tenerte aquí para conversar un rato
SMALL_TALK,Gracias por escucharme siempre
SMALL_TALK,Qué amable eres de verdad
SMALL_TALK,Muchas gracias no sé qué haría sin ti
SMALL_TALK,Muy amable de tu parte gracias
SMALL_TALK,Oye gracias por todo lo que haces por mí
SMALL_TALK,De verdad te lo agradezco con todo el corazón
SMALL_TALK,Qué cosa tan buena que existas para ayudarme
SMALL_TALK,Gracias gracias eres muy bueno conmigo
SMALL_TALK,Estaba viendo las noticias y todo está muy feo
SMALL_TALK,La novela de las ocho está muy buena últimamente
SMALL_TALK,Mi vecina Rosa vino a visitarme ayer qué alegría
SMALL_TALK,El vecino de arriba pone música muy fuerte que no me deja dormir
SMALL_TALK,Ayer pasaron una película muy bonita en la tele
SMALL_TALK,Los vecinos nuevos no saludan nada antipáticos
SMALL_TALK,El perro del vecino ladró toda la noche y no dormí
SMALL_TALK,Vi un programa sobre historia que me gustó mucho
SMALL_TALK,Mi vecina está enferma y nadie la visita qué tristeza
SMALL_TALK,Pusieron a construir algo cerca y el ruido es horrible
